date,btcusd,sp500
2019-05-01,5321.15,2923.72998046875
2019-05-02,5390.01,2917.52001953125
2019-05-03,5657.4,2945.639892578125
2019-05-04,5770.01,
2019-05-05,5715.86,
2019-05-06,5687.9,2932.469970703125
2019-05-07,5748.45,2884.050048828125
2019-05-08,5948.41,2879.419921875
2019-05-09,6153.09,2870.719970703125
2019-05-10,6343.14,2881.39990234375
2019-05-11,7219.95,
2019-05-12,6979.76,
2019-05-13,7824.93,2811.8701171875
2019-05-14,7990.92,2834.409912109375
2019-05-15,8203.32,2850.9599609375
2019-05-16,7878.96,2876.320068359375
2019-05-17,7363.69,2859.530029296875
2019-05-18,7262.4,
2019-05-19,8200.0,
2019-05-20,7999.54,2840.22998046875
2019-05-21,7951.7,2864.360107421875
2019-05-22,7626.48,2856.27001953125
2019-05-23,7881.98,2822.239990234375
2019-05-24,8001.7,2826.06005859375
2019-05-25,8063.81,
2019-05-26,8731.72,
2019-05-27,8772.29,
2019-05-28,8715.36,2802.389892578125
2019-05-29,8662.44,2783.02001953125
2019-05-30,8279.69,2788.860107421875
2019-05-31,8554.06,2752.06005859375
2019-06-01,8558.95,
2019-06-02,8736.55,
2019-06-03,8107.96,2744.449951171875
2019-06-04,7670.96,2803.27001953125
2019-06-05,7789.48,2826.14990234375
2019-06-06,7805.0,2843.489990234375
2019-06-07,7998.13,2873.340087890625
2019-06-08,7930.14,
2019-06-09,7634.58,
2019-06-10,8015.69,2886.72998046875
2019-06-11,7918.17,2885.719970703125
2019-06-12,8176.02,2879.840087890625
2019-06-13,8239.04,2891.639892578125
2019-06-14,8697.46,2886.97998046875
2019-06-15,8860.23,
2019-06-16,8975.0,
2019-06-17,9333.14,2889.669921875
2019-06-18,9078.48,2917.75
2019-06-19,9277.54,2926.4599609375
2019-06-20,9531.21,2954.179931640625
2019-06-21,10236.2,2950.4599609375
2019-06-22,10666.86,
2019-06-23,10833.02,
2019-06-24,11032.32,2945.35009765625
2019-06-25,11755.53,2917.3798828125
2019-06-26,12927.44,2913.780029296875
2019-06-27,11159.29,2924.919921875
2019-06-28,12360.45,2941.760009765625
2019-06-29,11865.29,
2019-06-30,10761.26,
2019-07-01,10577.63,2964.330078125
2019-07-02,10829.18,2973.010009765625
2019-07-03,11976.42,2995.820068359375
2019-07-04,11136.0,
2019-07-05,11004.51,2990.409912109375
2019-07-06,11237.77,
2019-07-07,11474.42,
2019-07-08,12293.53,2975.949951171875
2019-07-09,12571.11,2979.6298828125
2019-07-10,12097.96,2993.070068359375
2019-07-11,11349.0,2999.909912109375
2019-07-12,11802.0,3013.77001953125
2019-07-13,11370.08,
2019-07-14,10185.03,
2019-07-15,10854.47,3014.300048828125
2019-07-16,9422.72,3004.0400390625
2019-07-17,9696.31,2984.419921875
2019-07-18,10649.07,2995.110107421875
2019-07-19,10538.06,2976.610107421875
2019-07-20,10761.03,
2019-07-21,10590.7,
2019-07-22,10323.39,2985.030029296875
2019-07-23,9840.12,3005.469970703125
2019-07-24,9772.6,3019.56005859375
2019-07-25,9883.33,3003.669921875
2019-07-26,9843.0,3025.860107421875
2019-07-27,9479.98,
2019-07-28,9533.0,
2019-07-29,9495.01,3020.969970703125
2019-07-30,9589.01,3013.179931640625
2019-07-31,10087.3,2980.3798828125
2019-08-01,10405.94,2953.56005859375
2019-08-02,10533.01,2932.050048828125
2019-08-03,10820.76,
2019-08-04,10977.51,
2019-08-05,11819.49,2844.739990234375
2019-08-06,11465.49,2881.77001953125
2019-08-07,11975.03,2883.97998046875
2019-08-08,11981.0,2938.090087890625
2019-08-09,11856.1,2918.64990234375
2019-08-10,11280.95,
2019-08-11,11540.76,
2019-08-12,11389.28,2882.699951171875
2019-08-13,10854.92,2926.320068359375
2019-08-14,10025.86,2840.60009765625
2019-08-15,10300.01,2847.60009765625
2019-08-16,10352.78,2888.679931640625
2019-08-17,10217.79,
2019-08-18,10315.48,
2019-08-19,10920.0,2923.64990234375
2019-08-20,10769.09,2900.510009765625
2019-08-21,10130.0,2924.429931640625
2019-08-22,10107.15,2922.949951171875
2019-08-23,10410.85,2847.110107421875
2019-08-24,10147.96,
2019-08-25,10138.72,
2019-08-26,10361.65,2878.3798828125
2019-08-27,10171.85,2869.159912109375
2019-08-28,9714.31,2887.93994140625
2019-08-29,9495.0,2924.580078125
2019-08-30,9582.42,2926.4599609375
2019-08-31,9600.86,
2019-09-01,9766.52,
2019-09-02,10381.26,
2019-09-03,10628.48,2906.27001953125
2019-09-04,10581.84,2937.780029296875
2019-09-05,10574.73,2976.0
2019-09-06,10308.92,2978.7099609375
2019-09-07,10484.37,
2019-09-08,10398.97,
2019-09-09,10310.0,2978.429931640625
2019-09-10,10093.01,2979.389892578125
2019-09-11,10160.2,3000.929931640625
2019-09-12,10423.72,3009.570068359375
2019-09-13,10365.93,3007.389892578125
2019-09-14,10360.25,
2019-09-15,10304.46,
2019-09-16,10262.54,2997.9599609375
2019-09-17,10185.39,3005.699951171875
2019-09-18,10155.26,3006.72998046875
2019-09-19,10275.01,3006.7900390625
2019-09-20,10168.85,2992.070068359375
2019-09-21,9973.99,
2019-09-22,10026.8,
2019-09-23,9693.74,2991.780029296875
2019-09-24,8530.01,2966.60009765625
2019-09-25,8438.35,2984.8701171875
2019-09-26,8060.0,2977.6201171875
2019-09-27,8193.99,2961.7900390625
