date,daily_net,stock,yoy,yoy_ma50
2019-08-19,20.0,20.0,,
2019-08-20,50.0,70.0,,
2019-08-21,60.0,130.0,,
2019-08-22,60.0,190.0,,
2019-08-23,0.0,190.0,,
2019-08-24,0.0,190.0,,
2019-08-25,0.0,190.0,,
2019-08-26,130.0,320.0,,
2019-08-27,30.0,350.0,,
2019-08-28,0.0,350.0,,
2019-08-29,-60.0,290.0,,
2019-08-30,0.0,290.0,,
2019-08-31,0.0,290.0,,
2019-09-01,0.0,290.0,,
2019-09-02,0.0,290.0,,
2019-09-03,-80.0,210.0,,
2019-09-04,-60.0,150.0,,
2019-09-05,0.0,150.0,,
2019-09-06,40.0,190.0,,
2019-09-07,0.0,190.0,,
2019-09-08,0.0,190.0,,
2019-09-09,120.0,310.0,,
2019-09-10,80.0,390.0,,
2019-09-11,30.0,420.0,,
2019-09-12,0.0,420.0,,
2019-09-13,-40.0,380.0,,
2019-09-14,0.0,380.0,,
2019-09-15,0.0,380.0,,
2019-09-16,-120.0,260.0,,
2019-09-17,120.0,380.0,,
2019-09-18,0.0,380.0,,
2019-09-19,0.0,380.0,,
2019-09-20,120.0,500.0,,
2019-09-21,0.0,500.0,,
2019-09-22,0.0,500.0,,
2019-09-23,100.0,600.0,,
2019-09-24,40.0,640.0,,
2019-09-25,-10.0,630.0,,
2019-09-26,20.0,650.0,,
2019-09-27,-10.0,640.0,,
2019-09-28,0.0,640.0,,
2019-09-29,0.0,640.0,,
2019-09-30,-20.0,620.0,,
2019-10-01,0.0,620.0,,
2019-10-02,0.0,620.0,,
2019-10-03,0.0,620.0,,
2019-10-04,-80.0,540.0,,
2019-10-05,0.0,540.0,,
2019-10-06,0.0,540.0,,
2019-10-07,-80.0,460.0,,
2019-10-08,-40.0,420.0,,
2019-10-09,-20.0,400.0,,
2019-10-10,-20.0,380.0,,
2019-10-11,-30.0,350.0,,
2019-10-12,0.0,350.0,,
2019-10-13,0.0,350.0,,
2019-10-14,0.0,350.0,,
2019-10-15,0.0,350.0,,
2019-10-16,200.0,550.0,,
2019-10-17,0.0,550.0,,
2019-10-18,30.0,580.0,,
2019-10-19,0.0,580.0,,
2019-10-20,0.0,580.0,,
2019-10-21,50.0,630.0,,
2019-10-22,0.0,630.0,,
2019-10-23,200.0,830.0,,
2019-10-24,60.0,890.0,,
2019-10-25,0.0,890.0,,
2019-10-26,0.0,890.0,,
2019-10-27,0.0,890.0,,
2019-10-28,-50.0,840.0,,
2019-10-29,0.0,840.0,,
2019-10-30,-200.0,640.0,,
2019-10-31,-60.0,580.0,,
2019-11-01,-30.0,550.0,,
2019-11-02,0.0,550.0,,
2019-11-03,0.0,550.0,,
2019-11-04,0.0,550.0,,
2019-11-05,400.0,950.0,,
2019-11-06,0.0,950.0,,
2019-11-07,0.0,950.0,,
2019-11-08,0.0,950.0,,
2019-11-09,0.0,950.0,,
2019-11-10,0.0,950.0,,
2019-11-11,0.0,950.0,,
2019-11-12,0.0,950.0,,
2019-11-13,0.0,950.0,,
2019-11-14,0.0,950.0,,
2019-11-15,200.0,1150.0,,
2019-11-16,0.0,1150.0,,
2019-11-17,0.0,1150.0,,
2019-11-18,180.0,1330.0,,
2019-11-19,0.0,1330.0,,
2019-11-20,0.0,1330.0,,
2019-11-21,0.0,1330.0,,
2019-11-22,0.0,1330.0,,
2019-11-23,0.0,1330.0,,
2019-11-24,0.0,1330.0,,
2019-11-25,-180.0,1150.0,,
2019-11-26,0.0,1150.0,,
2019-11-27,0.0,1150.0,,
2019-11-28,0.0,1150.0,,
2019-11-29,0.0,1150.0,,
2019-11-30,0.0,1150.0,,
2019-12-01,0.0,1150.0,,
2019-12-02,0.0,1150.0,,
2019-12-03,0.0,1150.0,,
2019-12-04,0.0,1150.0,,
2019-12-05,0.0,1150.0,,
2019-12-06,300.0,1450.0,,
2019-12-07,0.0,1450.0,,
2019-12-08,0.0,1450.0,,
2019-12-09,0.0,1450.0,,
2019-12-10,0.0,1450.0,,
2019-12-11,0.0,1450.0,,
2019-12-12,0.0,1450.0,,
2019-12-13,0.0,1450.0,,
2019-12-14,0.0,1450.0,,
2019-12-15,0.0,1450.0,,
2019-12-16,300.0,1750.0,,
2019-12-17,0.0,1750.0,,
2019-12-18,200.0,1950.0,,
2019-12-19,280.0,2230.0,,
2019-12-20,150.0,2380.0,,
2019-12-21,0.0,2380.0,,
2019-12-22,0.0,2380.0,,
2019-12-23,50.0,2430.0,,
2019-12-24,0.0,2430.0,,
2019-12-25,-50.0,2380.0,,
2019-12-26,-30.0,2350.0,,
2019-12-27,0.0,2350.0,,
2019-12-28,0.0,2350.0,,
2019-12-29,0.0,2350.0,,
2019-12-30,0.0,2350.0,,
2019-12-31,0.0,2350.0,,
2020-01-01,-150.0,2200.0,,
2020-01-02,-250.0,1950.0,,
2020-01-03,-150.0,1800.0,,
2020-01-04,0.0,1800.0,,
2020-01-05,0.0,1800.0,,
2020-01-06,-50.0,1750.0,,
2020-01-07,0.0,1750.0,,
2020-01-08,0.0,1750.0,,
2020-01-09,0.0,1750.0,,
2020-01-10,0.0,1750.0,,
2020-01-11,0.0,1750.0,,
2020-01-12,0.0,1750.0,,
2020-01-13,0.0,1750.0,,
2020-01-14,0.0,1750.0,,
2020-01-15,400.0,2150.0,,
2020-01-16,300.0,2450.0,,
2020-01-17,200.0,2650.0,,
2020-01-18,0.0,2650.0,,
2020-01-19,200.0,2850.0,,
2020-01-20,250.0,3100.0,,
2020-01-21,100.0,3200.0,,
2020-01-22,30.0,3230.0,,
2020-01-23,240.5,3470.5,,
2020-01-24,0.0,3470.5,,
2020-01-25,0.0,3470.5,,
2020-01-26,0.0,3470.5,,
2020-01-27,0.0,3470.5,,
2020-01-28,0.0,3470.5,,
2020-01-29,-100.0,3370.5,,
2020-01-30,-300.0,3070.5,,
2020-01-31,-200.0,2870.5,,
2020-02-01,0.0,2870.5,,
2020-02-02,-200.0,2670.5,,
2020-02-03,950.0,3620.5,,
2020-02-04,400.0,4020.5,,
2020-02-05,-30.0,3990.5,,
2020-02-06,0.0,3990.5,,
2020-02-07,0.0,3990.5,,
2020-02-08,0.0,3990.5,,
2020-02-09,0.0,3990.5,,
2020-02-10,0.0,3990.5,,
2020-02-11,-280.0,3710.5,,
2020-02-12,0.0,3710.5,,
2020-02-13,0.0,3710.5,,
2020-02-14,0.0,3710.5,,
2020-02-15,0.0,3710.5,,
2020-02-16,0.0,3710.5,,
2020-02-17,-700.0,3010.5,,
2020-02-18,-220.0,2790.5,,
2020-02-19,0.0,2790.5,,
2020-02-20,0.0,2790.5,,
2020-02-21,0.0,2790.5,,
2020-02-22,0.0,2790.5,,
2020-02-23,0.0,2790.5,,
2020-02-24,-300.0,2490.5,,
2020-02-25,0.0,2490.5,,
2020-02-26,0.0,2490.5,,
2020-02-27,0.0,2490.5,,
2020-02-28,0.0,2490.5,,
2020-02-29,0.0,2490.5,,
2020-03-01,0.0,2490.5,,
2020-03-02,0.0,2490.5,,
2020-03-03,0.0,2490.5,,
2020-03-04,0.0,2490.5,,
2020-03-05,0.0,2490.5,,
2020-03-06,0.0,2490.5,,
2020-03-07,0.0,2490.5,,
2020-03-08,0.0,2490.5,,
2020-03-09,0.0,2490.5,,
2020-03-10,0.0,2490.5,,
2020-03-11,0.0,2490.5,,
2020-03-12,0.0,2490.5,,
2020-03-13,0.0,2490.5,,
2020-03-14,0.0,2490.5,,
2020-03-15,0.0,2490.5,,
2020-03-16,100.0,2590.5,,
2020-03-17,0.0,2590.5,,
2020-03-18,0.0,2590.5,,
2020-03-19,0.0,2590.5,,
2020-03-20,0.0,2590.5,,
2020-03-21,0.0,2590.5,,
2020-03-22,0.0,2590.5,,
2020-03-23,0.0,2590.5,,
2020-03-24,0.0,2590.5,,
2020-03-25,0.0,2590.5,,
2020-03-26,0.0,2590.5,,
2020-03-27,0.0,2590.5,,
2020-03-28,0.0,2590.5,,
2020-03-29,0.0,2590.5,,
2020-03-30,50.0,2640.5,,
2020-03-31,20.0,2660.5,,
2020-04-01,0.0,2660.5,,
2020-04-02,0.0,2660.5,,
2020-04-03,0.0,2660.5,,
2020-04-04,0.0,2660.5,,
2020-04-05,0.0,2660.5,,
2020-04-06,-50.0,2610.5,,
2020-04-07,-20.0,2590.5,,
2020-04-08,0.0,2590.5,,
2020-04-09,0.0,2590.5,,
2020-04-10,0.0,2590.5,,
2020-04-11,0.0,2590.5,,
2020-04-12,0.0,2590.5,,
2020-04-13,0.0,2590.5,,
2020-04-14,0.0,2590.5,,
2020-04-15,200.0,2790.5,,
2020-04-16,0.0,2790.5,,
2020-04-17,0.0,2790.5,,
2020-04-18,0.0,2790.5,,
2020-04-19,0.0,2790.5,,
2020-04-20,0.0,2790.5,,
2020-04-21,0.0,2790.5,,
2020-04-22,0.0,2790.5,,
2020-04-23,0.0,2790.5,,
2020-04-24,56.1,2846.6,,
2020-04-25,0.0,2846.6,,
2020-04-26,0.0,2846.6,,
2020-04-27,0.0,2846.6,,
2020-04-28,0.0,2846.6,,
2020-04-29,0.0,2846.6,,
2020-04-30,0.0,2846.6,,
2020-05-01,0.0,2846.6,,
2020-05-02,0.0,2846.6,,
2020-05-03,0.0,2846.6,,
2020-05-04,0.0,2846.6,,
2020-05-05,0.0,2846.6,,
2020-05-06,0.0,2846.6,,
2020-05-07,0.0,2846.6,,
2020-05-08,0.0,2846.6,,
2020-05-09,0.0,2846.6,,
2020-05-10,0.0,2846.6,,
2020-05-11,0.0,2846.6,,
2020-05-12,0.0,2846.6,,
2020-05-13,0.0,2846.6,,
2020-05-14,0.0,2846.6,,
2020-05-15,0.0,2846.6,,
2020-05-16,0.0,2846.6,,
2020-05-17,0.0,2846.6,,
2020-05-18,0.0,2846.6,,
2020-05-19,0.0,2846.6,,
2020-05-20,0.0,2846.6,,
2020-05-21,0.0,2846.6,,
2020-05-22,0.0,2846.6,,
2020-05-23,0.0,2846.6,,
2020-05-24,0.0,2846.6,,
2020-05-25,0.0,2846.6,,
2020-05-26,10.0,2856.6,,
2020-05-27,120.0,2976.6,,
2020-05-28,240.0,3216.6,,
2020-05-29,300.0,3516.6,,
2020-05-30,0.0,3516.6,,
2020-05-31,0.0,3516.6,,
2020-06-01,0.0,3516.6,,
2020-06-02,-10.0,3506.6,,
2020-06-03,-120.0,3386.6,,
2020-06-04,-170.0,3216.6,,
2020-06-05,-150.0,3066.6,,
2020-06-06,0.0,3066.6,,
2020-06-07,0.0,3066.6,,
2020-06-08,120.0,3186.6,,
2020-06-09,60.0,3246.6,,
2020-06-10,60.0,3306.6,,
2020-06-11,10.0,3316.6,,
2020-06-12,-50.0,3266.6,,
2020-06-13,0.0,3266.6,,
2020-06-14,0.0,3266.6,,
2020-06-15,80.0,3346.6,,
2020-06-16,-60.0,3286.6,,
2020-06-17,-60.0,3226.6,,
2020-06-18,40.0,3266.6,,
2020-06-19,80.0,3346.6,,
2020-06-20,0.0,3346.6,,
2020-06-21,0.0,3346.6,,
2020-06-22,120.0,3466.6,,
2020-06-23,200.0,3666.6,,
2020-06-24,180.0,3846.6,,
2020-06-25,-50.0,3796.6,,
2020-06-26,-70.0,3726.6,,
2020-06-27,0.0,3726.6,,
2020-06-28,100.0,3826.6,,
2020-06-29,-40.0,3786.6,,
2020-06-30,-90.0,3696.6,,
2020-07-01,-180.0,3516.6,,
2020-07-02,-70.0,3446.6,,
2020-07-03,-110.0,3336.6,,
2020-07-04,0.0,3336.6,,
2020-07-05,-100.0,3236.6,,
2020-07-06,-80.0,3156.6,,
2020-07-07,-110.0,3046.6,,
2020-07-08,0.0,3046.6,,
2020-07-09,0.0,3046.6,,
2020-07-10,0.0,3046.6,,
2020-07-11,0.0,3046.6,,
2020-07-12,0.0,3046.6,,
2020-07-13,50.0,3096.6,,
2020-07-14,30.0,3126.6,,
2020-07-15,400.0,3526.6,,
2020-07-16,50.0,3576.6,,
2020-07-17,200.0,3776.6,,
2020-07-18,0.0,3776.6,,
2020-07-19,0.0,3776.6,,
2020-07-20,50.0,3826.6,,
2020-07-21,-20.0,3806.6,,
2020-07-22,0.0,3806.6,,
2020-07-23,-50.0,3756.6,,
2020-07-24,-200.0,3556.6,,
2020-07-25,0.0,3556.6,,
2020-07-26,0.0,3556.6,,
2020-07-27,0.0,3556.6,,
2020-07-28,70.0,3626.6,,
2020-07-29,30.0,3656.6,,
