date,level,yoy,yoy_ma50
2019-07-16,41685.4,,
2019-07-17,41785.4,,
2019-07-18,41885.4,,
2019-07-19,41985.4,,
2019-07-20,41985.4,,
2019-07-21,41985.4,,
2019-07-22,42035.4,,
2019-07-23,41875.4,,
2019-07-24,41775.4,,
2019-07-25,41675.4,,
2019-07-26,41575.4,,
2019-07-27,41575.4,,
2019-07-28,41575.4,,
2019-07-29,41525.4,,
2019-07-30,41525.4,,
2019-07-31,41525.4,,
2019-08-01,40292.7,,
2019-08-02,40292.7,,
2019-08-03,40292.7,,
2019-08-04,40292.7,,
2019-08-05,40292.7,,
2019-08-06,40292.7,,
2019-08-07,40292.7,,
2019-08-08,40292.7,,
2019-08-09,40292.7,,
2019-08-10,40292.7,,
2019-08-11,40292.7,,
2019-08-12,40322.7,,
2019-08-13,40382.7,,
2019-08-14,40482.7,,
2019-08-15,40482.7,,
2019-08-16,40562.7,,
2019-08-17,40562.7,,
2019-08-18,40562.7,,
2019-08-19,40552.7,,
2019-08-20,40542.7,,
2019-08-21,40502.7,,
2019-08-22,40562.7,,
2019-08-23,40482.7,,
2019-08-24,40482.7,,
2019-08-25,40482.7,,
2019-08-26,40462.7,,
2019-08-27,40492.7,,
2019-08-28,40492.7,,
2019-08-29,40432.7,,
2019-08-30,40432.7,,
2019-08-31,40432.7,,
2019-09-01,40682.0,,
2019-09-02,40682.0,,
2019-09-03,40602.0,,
2019-09-04,40542.0,,
2019-09-05,40542.0,,
2019-09-06,40582.0,,
2019-09-07,40582.0,,
2019-09-08,40582.0,,
2019-09-09,40702.0,,
2019-09-10,40782.0,,
2019-09-11,40812.0,,
2019-09-12,40812.0,,
2019-09-13,40772.0,,
2019-09-14,40772.0,,
2019-09-15,40772.0,,
2019-09-16,41452.0,,
2019-09-17,41372.0,,
2019-09-18,41372.0,,
2019-09-19,41372.0,,
2019-09-20,41492.0,,
2019-09-21,41492.0,,
2019-09-22,41492.0,,
2019-09-23,41592.0,,
2019-09-24,41632.0,,
2019-09-25,41622.0,,
2019-09-26,41642.0,,
2019-09-27,41632.0,,
2019-09-28,41632.0,,
2019-09-29,41632.0,,
2019-09-30,41612.0,,
2019-10-01,40962.9,,
2019-10-02,40962.9,,
2019-10-03,40962.9,,
2019-10-04,40882.9,,
2019-10-05,40882.9,,
2019-10-06,40882.9,,
2019-10-07,40802.9,,
2019-10-08,40762.9,,
2019-10-09,40742.9,,
2019-10-10,40722.9,,
2019-10-11,40692.9,,
2019-10-12,40692.9,,
2019-10-13,40692.9,,
2019-10-14,40692.9,,
2019-10-15,40692.9,,
2019-10-16,40692.9,,
2019-10-17,40692.9,,
2019-10-18,40722.9,,
2019-10-19,40722.9,,
2019-10-20,40722.9,,
2019-10-21,40772.9,,
2019-10-22,40772.9,,
2019-10-23,40972.9,,
2019-10-24,41032.9,,
2019-10-25,41032.9,,
2019-10-26,41032.9,,
2019-10-27,41032.9,,
2019-10-28,40982.9,,
2019-10-29,40982.9,,
2019-10-30,40782.9,,
2019-10-31,40722.9,,
2019-11-01,41711.5,,
2019-11-02,41711.5,,
2019-11-03,41711.5,,
2019-11-04,41711.5,,
2019-11-05,41711.5,,
2019-11-06,41711.5,,
2019-11-07,41711.5,,
2019-11-08,41711.5,,
2019-11-09,41711.5,,
2019-11-10,41711.5,,
2019-11-11,41711.5,,
2019-11-12,41711.5,,
2019-11-13,41711.5,,
2019-11-14,41711.5,,
2019-11-15,41711.5,,
2019-11-16,41711.5,,
2019-11-17,41711.5,,
2019-11-18,41891.5,,
2019-11-19,41891.5,,
2019-11-20,41891.5,,
2019-11-21,41891.5,,
2019-11-22,41891.5,,
2019-11-23,41891.5,,
2019-11-24,41891.5,,
2019-11-25,41711.5,,
2019-11-26,41711.5,,
2019-11-27,41711.5,,
2019-11-28,41711.5,,
2019-11-29,41711.5,,
2019-11-30,41711.5,,
2019-12-01,41352.2,,
2019-12-02,41352.2,,
2019-12-03,41352.2,,
2019-12-04,41352.2,,
2019-12-05,41352.2,,
2019-12-06,41352.2,,
2019-12-07,41352.2,,
2019-12-08,41352.2,,
2019-12-09,41352.2,,
2019-12-10,41352.2,,
2019-12-11,41352.2,,
2019-12-12,41352.2,,
2019-12-13,41352.2,,
2019-12-14,41352.2,,
2019-12-15,41352.2,,
2019-12-16,41352.2,,
2019-12-17,41352.2,,
2019-12-18,41552.2,,
2019-12-19,41832.2,,
2019-12-20,41982.2,,
2019-12-21,41982.2,,
2019-12-22,41982.2,,
2019-12-23,42032.2,,
2019-12-24,42032.2,,
2019-12-25,41982.2,,
2019-12-26,41952.2,,
2019-12-27,41952.2,,
2019-12-28,41952.2,,
2019-12-29,41952.2,,
2019-12-30,41952.2,,
2019-12-31,41952.2,,
2020-01-01,40618.3,,
2020-01-02,40368.3,,
2020-01-03,40218.3,,
2020-01-04,40218.3,,
2020-01-05,40218.3,,
2020-01-06,40968.3,,
2020-01-07,40968.3,,
2020-01-08,40968.3,,
2020-01-09,40968.3,,
2020-01-10,40968.3,,
2020-01-11,40968.3,,
2020-01-12,40968.3,,
2020-01-13,40968.3,,
2020-01-14,40968.3,,
2020-01-15,41068.3,,
2020-01-16,41368.3,,
2020-01-17,41568.3,,
2020-01-18,41568.3,,
2020-01-19,41768.3,,
2020-01-20,42018.3,,
2020-01-21,42118.3,,
2020-01-22,42148.3,,
2020-01-23,42148.3,,
2020-01-24,42148.3,,
2020-01-25,42148.3,,
2020-01-26,42148.3,,
2020-01-27,42148.3,,
2020-01-28,42148.3,,
2020-01-29,42048.3,,
2020-01-30,41748.3,,
2020-01-31,41548.3,,
2020-02-01,42282.0,,
2020-02-02,42082.0,,
2020-02-03,43032.0,,
2020-02-04,43432.0,,
2020-02-05,43402.0,,
2020-02-06,43402.0,,
2020-02-07,43402.0,,
2020-02-08,43402.0,,
2020-02-09,43402.0,,
2020-02-10,43402.0,,
2020-02-11,43122.0,,
2020-02-12,43122.0,,
2020-02-13,43122.0,,
2020-02-14,43122.0,,
2020-02-15,43122.0,,
2020-02-16,43122.0,,
2020-02-17,42222.0,,
2020-02-18,42002.0,,
2020-02-19,42002.0,,
2020-02-20,42002.0,,
2020-02-21,42002.0,,
2020-02-22,42002.0,,
2020-02-23,42002.0,,
2020-02-24,41702.0,,
2020-02-25,41702.0,,
2020-02-26,41702.0,,
2020-02-27,41702.0,,
2020-02-28,41702.0,,
2020-02-29,41702.0,,
2020-03-01,43255.1,,
2020-03-02,43255.1,,
2020-03-03,43255.1,,
2020-03-04,43255.1,,
2020-03-05,43255.1,,
2020-03-06,43255.1,,
2020-03-07,43255.1,,
2020-03-08,43255.1,,
2020-03-09,43255.1,,
2020-03-10,43255.1,,
2020-03-11,43255.1,,
2020-03-12,43255.1,,
2020-03-13,43255.1,,
2020-03-14,43255.1,,
2020-03-15,43255.1,,
2020-03-16,43805.1,,
2020-03-17,43805.1,,
2020-03-18,43805.1,,
2020-03-19,43805.1,,
2020-03-20,43805.1,,
2020-03-21,43805.1,,
2020-03-22,43805.1,,
2020-03-23,43805.1,,
2020-03-24,43805.1,,
2020-03-25,43805.1,,
2020-03-26,43805.1,,
2020-03-27,43805.1,,
2020-03-28,43805.1,,
2020-03-29,43805.1,,
2020-03-30,43855.1,,
2020-03-31,43875.1,,
2020-04-01,43480.7,,
2020-04-02,43480.7,,
2020-04-03,43480.7,,
2020-04-04,43480.7,,
2020-04-05,43480.7,,
2020-04-06,43430.7,,
2020-04-07,43410.7,,
2020-04-08,43410.7,,
2020-04-09,43410.7,,
