date,daily_net,stock,yoy,yoy_ma50
2019-07-16,160.0,160.0,,
2019-07-17,100.0,260.0,,
2019-07-18,100.0,360.0,,
2019-07-19,100.0,460.0,,
2019-07-20,0.0,460.0,,
2019-07-21,0.0,460.0,,
2019-07-22,50.0,510.0,,
2019-07-23,-160.0,350.0,,
2019-07-24,-100.0,250.0,,
2019-07-25,-100.0,150.0,,
2019-07-26,-100.0,50.0,,
2019-07-27,0.0,50.0,,
2019-07-28,0.0,50.0,,
2019-07-29,-50.0,0.0,,
2019-07-30,0.0,0.0,,
2019-07-31,0.0,0.0,,
2019-08-01,0.0,0.0,,
2019-08-02,0.0,0.0,,
2019-08-03,0.0,0.0,,
2019-08-04,0.0,0.0,,
2019-08-05,0.0,0.0,,
2019-08-06,0.0,0.0,,
2019-08-07,0.0,0.0,,
2019-08-08,0.0,0.0,,
2019-08-09,0.0,0.0,,
2019-08-10,0.0,0.0,,
2019-08-11,0.0,0.0,,
2019-08-12,30.0,30.0,,
2019-08-13,60.0,90.0,,
2019-08-14,100.0,190.0,,
2019-08-15,0.0,190.0,,
2019-08-16,80.0,270.0,,
2019-08-17,0.0,270.0,,
2019-08-18,0.0,270.0,,
2019-08-19,-10.0,260.0,,
2019-08-20,-10.0,250.0,,
2019-08-21,-40.0,210.0,,
2019-08-22,60.0,270.0,,
2019-08-23,-80.0,190.0,,
2019-08-24,0.0,190.0,,
2019-08-25,0.0,190.0,,
2019-08-26,-20.0,170.0,,
2019-08-27,30.0,200.0,,
2019-08-28,0.0,200.0,,
2019-08-29,-60.0,140.0,,
2019-08-30,0.0,140.0,,
2019-08-31,0.0,140.0,,
2019-09-01,0.0,140.0,,
2019-09-02,0.0,140.0,,
2019-09-03,-80.0,60.0,,
2019-09-04,-60.0,0.0,,
2019-09-05,0.0,0.0,,
2019-09-06,40.0,40.0,,
2019-09-07,0.0,40.0,,
2019-09-08,0.0,40.0,,
2019-09-09,120.0,160.0,,
2019-09-10,80.0,240.0,,
2019-09-11,30.0,270.0,,
2019-09-12,0.0,270.0,,
2019-09-13,-40.0,230.0,,
2019-09-14,0.0,230.0,,
2019-09-15,0.0,230.0,,
2019-09-16,-120.0,110.0,,
2019-09-17,-80.0,30.0,,
2019-09-18,0.0,30.0,,
2019-09-19,0.0,30.0,,
2019-09-20,120.0,150.0,,
2019-09-21,0.0,150.0,,
2019-09-22,0.0,150.0,,
2019-09-23,100.0,250.0,,
2019-09-24,40.0,290.0,,
2019-09-25,-10.0,280.0,,
2019-09-26,20.0,300.0,,
2019-09-27,-10.0,290.0,,
2019-09-28,0.0,290.0,,
2019-09-29,0.0,290.0,,
2019-09-30,-20.0,270.0,,
2019-10-01,0.0,270.0,,
2019-10-02,0.0,270.0,,
2019-10-03,0.0,270.0,,
2019-10-04,-80.0,190.0,,
2019-10-05,0.0,190.0,,
2019-10-06,0.0,190.0,,
2019-10-07,-80.0,110.0,,
2019-10-08,-40.0,70.0,,
2019-10-09,-20.0,50.0,,
2019-10-10,-20.0,30.0,,
2019-10-11,-30.0,0.0,,
2019-10-12,0.0,0.0,,
2019-10-13,0.0,0.0,,
2019-10-14,0.0,0.0,,
2019-10-15,0.0,0.0,,
2019-10-16,0.0,0.0,,
2019-10-17,0.0,0.0,,
2019-10-18,30.0,30.0,,
2019-10-19,0.0,30.0,,
2019-10-20,0.0,30.0,,
2019-10-21,50.0,80.0,,
2019-10-22,0.0,80.0,,
2019-10-23,200.0,280.0,,
2019-10-24,60.0,340.0,,
2019-10-25,0.0,340.0,,
2019-10-26,0.0,340.0,,
2019-10-27,0.0,340.0,,
2019-10-28,-50.0,290.0,,
2019-10-29,0.0,290.0,,
2019-10-30,-200.0,90.0,,
2019-10-31,-60.0,30.0,,
2019-11-01,-30.0,0.0,,
2019-11-02,0.0,0.0,,
2019-11-03,0.0,0.0,,
2019-11-04,0.0,0.0,,
2019-11-05,0.0,0.0,,
2019-11-06,0.0,0.0,,
2019-11-07,0.0,0.0,,
2019-11-08,0.0,0.0,,
2019-11-09,0.0,0.0,,
2019-11-10,0.0,0.0,,
2019-11-11,0.0,0.0,,
2019-11-12,0.0,0.0,,
2019-11-13,0.0,0.0,,
2019-11-14,0.0,0.0,,
2019-11-15,0.0,0.0,,
2019-11-16,0.0,0.0,,
2019-11-17,0.0,0.0,,
2019-11-18,180.0,180.0,,
2019-11-19,0.0,180.0,,
2019-11-20,0.0,180.0,,
2019-11-21,0.0,180.0,,
2019-11-22,0.0,180.0,,
2019-11-23,0.0,180.0,,
2019-11-24,0.0,180.0,,
2019-11-25,-180.0,0.0,,
2019-11-26,0.0,0.0,,
2019-11-27,0.0,0.0,,
2019-11-28,0.0,0.0,,
2019-11-29,0.0,0.0,,
2019-11-30,0.0,0.0,,
2019-12-01,0.0,0.0,,
2019-12-02,0.0,0.0,,
2019-12-03,0.0,0.0,,
2019-12-04,0.0,0.0,,
2019-12-05,0.0,0.0,,
2019-12-06,0.0,0.0,,
2019-12-07,0.0,0.0,,
2019-12-08,0.0,0.0,,
2019-12-09,0.0,0.0,,
2019-12-10,0.0,0.0,,
2019-12-11,0.0,0.0,,
2019-12-12,0.0,0.0,,
2019-12-13,0.0,0.0,,
2019-12-14,0.0,0.0,,
2019-12-15,0.0,0.0,,
2019-12-16,0.0,0.0,,
2019-12-17,0.0,0.0,,
2019-12-18,200.0,200.0,,
2019-12-19,280.0,480.0,,
2019-12-20,150.0,630.0,,
2019-12-21,0.0,630.0,,
2019-12-22,0.0,630.0,,
2019-12-23,50.0,680.0,,
2019-12-24,0.0,680.0,,
2019-12-25,-50.0,630.0,,
2019-12-26,-30.0,600.0,,
2019-12-27,0.0,600.0,,
2019-12-28,0.0,600.0,,
2019-12-29,0.0,600.0,,
2019-12-30,0.0,600.0,,
2019-12-31,0.0,600.0,,
2020-01-01,-150.0,450.0,,
2020-01-02,-250.0,200.0,,
2020-01-03,-150.0,50.0,,
2020-01-04,0.0,50.0,,
2020-01-05,0.0,50.0,,
2020-01-06,-50.0,0.0,,
2020-01-07,0.0,0.0,,
2020-01-08,0.0,0.0,,
2020-01-09,0.0,0.0,,
2020-01-10,0.0,0.0,,
2020-01-11,0.0,0.0,,
2020-01-12,0.0,0.0,,
2020-01-13,0.0,0.0,,
2020-01-14,0.0,0.0,,
2020-01-15,100.0,100.0,,
2020-01-16,300.0,400.0,,
2020-01-17,200.0,600.0,,
2020-01-18,0.0,600.0,,
2020-01-19,200.0,800.0,,
2020-01-20,250.0,1050.0,,
2020-01-21,100.0,1150.0,,
2020-01-22,30.0,1180.0,,
2020-01-23,0.0,1180.0,,
2020-01-24,0.0,1180.0,,
2020-01-25,0.0,1180.0,,
2020-01-26,0.0,1180.0,,
2020-01-27,0.0,1180.0,,
2020-01-28,0.0,1180.0,,
2020-01-29,-100.0,1080.0,,
2020-01-30,-300.0,780.0,,
2020-01-31,-200.0,580.0,,
2020-02-01,0.0,580.0,,
2020-02-02,-200.0,380.0,,
2020-02-03,950.0,1330.0,,
2020-02-04,400.0,1730.0,,
2020-02-05,-30.0,1700.0,,
2020-02-06,0.0,1700.0,,
2020-02-07,0.0,1700.0,,
2020-02-08,0.0,1700.0,,
2020-02-09,0.0,1700.0,,
2020-02-10,0.0,1700.0,,
2020-02-11,-280.0,1420.0,,
2020-02-12,0.0,1420.0,,
2020-02-13,0.0,1420.0,,
2020-02-14,0.0,1420.0,,
2020-02-15,0.0,1420.0,,
2020-02-16,0.0,1420.0,,
2020-02-17,-900.0,520.0,,
2020-02-18,-220.0,300.0,,
2020-02-19,0.0,300.0,,
2020-02-20,0.0,300.0,,
2020-02-21,0.0,300.0,,
2020-02-22,0.0,300.0,,
2020-02-23,0.0,300.0,,
2020-02-24,-300.0,0.0,,
2020-02-25,0.0,0.0,,
2020-02-26,0.0,0.0,,
2020-02-27,0.0,0.0,,
2020-02-28,0.0,0.0,,
2020-02-29,0.0,0.0,,
2020-03-01,0.0,0.0,,
2020-03-02,0.0,0.0,,
2020-03-03,0.0,0.0,,
2020-03-04,0.0,0.0,,
2020-03-05,0.0,0.0,,
2020-03-06,0.0,0.0,,
2020-03-07,0.0,0.0,,
2020-03-08,0.0,0.0,,
2020-03-09,0.0,0.0,,
2020-03-10,0.0,0.0,,
2020-03-11,0.0,0.0,,
2020-03-12,0.0,0.0,,
2020-03-13,0.0,0.0,,
2020-03-14,0.0,0.0,,
2020-03-15,0.0,0.0,,
2020-03-16,0.0,0.0,,
2020-03-17,0.0,0.0,,
2020-03-18,0.0,0.0,,
2020-03-19,0.0,0.0,,
2020-03-20,0.0,0.0,,
2020-03-21,0.0,0.0,,
2020-03-22,0.0,0.0,,
2020-03-23,0.0,0.0,,
2020-03-24,0.0,0.0,,
2020-03-25,0.0,0.0,,
2020-03-26,0.0,0.0,,
2020-03-27,0.0,0.0,,
2020-03-28,0.0,0.0,,
2020-03-29,0.0,0.0,,
2020-03-30,50.0,50.0,,
2020-03-31,20.0,70.0,,
2020-04-01,0.0,70.0,,
2020-04-02,0.0,70.0,,
2020-04-03,0.0,70.0,,
2020-04-04,0.0,70.0,,
2020-04-05,0.0,70.0,,
2020-04-06,-50.0,20.0,,
2020-04-07,-20.0,0.0,,
2020-04-08,0.0,0.0,,
2020-04-09,0.0,0.0,,
2020-04-10,0.0,0.0,,
2020-04-11,0.0,0.0,,
2020-04-12,0.0,0.0,,
2020-04-13,0.0,0.0,,
2020-04-14,0.0,0.0,,
2020-04-15,0.0,0.0,,
2020-04-16,0.0,0.0,,
2020-04-17,0.0,0.0,,
2020-04-18,0.0,0.0,,
2020-04-19,0.0,0.0,,
2020-04-20,0.0,0.0,,
2020-04-21,0.0,0.0,,
2020-04-22,0.0,0.0,,
2020-04-23,0.0,0.0,,
2020-04-24,0.0,0.0,,
2020-04-25,0.0,0.0,,
2020-04-26,0.0,0.0,,
2020-04-27,0.0,0.0,,
2020-04-28,0.0,0.0,,
2020-04-29,0.0,0.0,,
2020-04-30,0.0,0.0,,
2020-05-01,0.0,0.0,,
2020-05-02,0.0,0.0,,
2020-05-03,0.0,0.0,,
2020-05-04,0.0,0.0,,
2020-05-05,0.0,0.0,,
2020-05-06,0.0,0.0,,
2020-05-07,0.0,0.0,,
2020-05-08,0.0,0.0,,
2020-05-09,0.0,0.0,,
2020-05-10,0.0,0.0,,
2020-05-11,0.0,0.0,,
2020-05-12,0.0,0.0,,
2020-05-13,0.0,0.0,,
2020-05-14,0.0,0.0,,
2020-05-15,0.0,0.0,,
2020-05-16,0.0,0.0,,
2020-05-17,0.0,0.0,,
2020-05-18,0.0,0.0,,
2020-05-19,0.0,0.0,,
2020-05-20,0.0,0.0,,
2020-05-21,0.0,0.0,,
2020-05-22,0.0,0.0,,
2020-05-23,0.0,0.0,,
2020-05-24,0.0,0.0,,
2020-05-25,0.0,0.0,,
2020-05-26,10.0,10.0,,
2020-05-27,120.0,130.0,,
2020-05-28,240.0,370.0,,
2020-05-29,300.0,670.0,,
2020-05-30,0.0,670.0,,
2020-05-31,0.0,670.0,,
2020-06-01,0.0,670.0,,
2020-06-02,-10.0,660.0,,
2020-06-03,-120.0,540.0,,
2020-06-04,-170.0,370.0,,
2020-06-05,-150.0,220.0,,
2020-06-06,0.0,220.0,,
2020-06-07,0.0,220.0,,
2020-06-08,120.0,340.0,,
2020-06-09,60.0,400.0,,
2020-06-10,60.0,460.0,,
2020-06-11,10.0,470.0,,
2020-06-12,-50.0,420.0,,
2020-06-13,0.0,420.0,,
2020-06-14,0.0,420.0,,
2020-06-15,-120.0,300.0,,
2020-06-16,-60.0,240.0,,
2020-06-17,-60.0,180.0,,
2020-06-18,40.0,220.0,,
2020-06-19,80.0,300.0,,
2020-06-20,0.0,300.0,,
2020-06-21,0.0,300.0,,
2020-06-22,120.0,420.0,,
2020-06-23,200.0,620.0,,
2020-06-24,180.0,800.0,,
2020-06-25,-50.0,750.0,,
2020-06-26,-70.0,680.0,,
2020-06-27,0.0,680.0,,
